
5-grams:
('to', 'dhs', 'secretary', 'alejandro', 'mayor'): 3
('secretary', 'alejandro', 'mayor', 'kas', 'resign'): 3
('candidate', 'michael', 'henry', 'on', 'newsmax'): 3
('michael', 'henry', 'on', 'newsmax', 'national'): 3
('henry', 'on', 'newsmax', 'national', 'report'): 3
('michael', 'henry', 'on', 'newsmax', 'with'): 3
('henry', 'on', 'newsmax', 'with', 'amanda'): 3
('on', 'newsmax', 'with', 'amanda', 'bril'): 3
('newsmax', 'with', 'amanda', 'bril', 'h'): 3
('with', 'amanda', 'bril', 'h', 'ante'): 3
('amanda', 'bril', 'h', 'ante', 'discussing'): 3
('bril', 'h', 'ante', 'discussing', 'how'): 3
('h', 'ante', 'discussing', 'how', 'he'): 3
('ante', 'discussing', 'how', 'he', 'plans'): 3
